case:concept:name,concept:name,time:timestamp
Case 40,examine casually,2023-09-19 18:59:18
Case 341,register request,2023-09-19 18:59:23
Case 41,examine thoroughly,2023-09-19 18:59:23
Case 342,register request,2023-09-19 18:59:28
Case 42,check ticket,2023-09-19 18:59:28
Case 343,register request,2023-09-19 18:59:33
Case 43,examine casually,2023-09-19 18:59:33
Case 344,register request,2023-09-19 18:59:38
Case 44,examine casually,2023-09-19 18:59:38
Case 345,register request,2023-09-19 18:59:43
Case 45,check ticket,2023-09-19 18:59:43
Case 346,register request,2023-09-19 18:59:48
Case 46,check ticket,2023-09-19 18:59:48
Case 347,register request,2023-09-19 18:59:53
Case 47,check ticket,2023-09-19 18:59:53
Case 348,register request,2023-09-19 18:59:58
Case 48,examine thoroughly,2023-09-19 18:59:58
Case 349,register request,2023-09-19 19:00:03
Case 49,check ticket,2023-09-19 19:00:03
Case 350,register request,2023-09-19 19:00:08
Case 50,examine casually,2023-09-19 19:00:08
Case 351,register request,2023-09-19 19:00:13
Case 51,examine casually,2023-09-19 19:00:13
Case 352,register request,2023-09-19 19:00:18
Case 52,check ticket,2023-09-19 19:00:18
Case 353,register request,2023-09-19 19:00:23
Case 53,check ticket,2023-09-19 19:00:23
Case 354,register request,2023-09-19 19:00:28
Case 54,check ticket,2023-09-19 19:00:28
Case 355,register request,2023-09-19 19:00:33
Case 55,check ticket,2023-09-19 19:00:33
Case 356,register request,2023-09-19 19:00:38
Case 56,examine casually,2023-09-19 19:00:38
Case 357,register request,2023-09-19 19:00:43
Case 57,examine casually,2023-09-19 19:00:43
Case 358,register request,2023-09-19 19:00:48
Case 58,examine casually,2023-09-19 19:00:48
Case 359,register request,2023-09-19 19:00:53
Case 59,examine casually,2023-09-19 19:00:53
Case 360,register request,2023-09-19 19:00:58
Case 60,examine thoroughly,2023-09-19 19:00:58
Case 361,register request,2023-09-19 19:01:03
Case 61,examine casually,2023-09-19 19:01:03
Case 362,register request,2023-09-19 19:01:08
Case 62,examine casually,2023-09-19 19:01:08
Case 363,register request,2023-09-19 19:01:13
Case 63,check ticket,2023-09-19 19:01:13
Case 364,register request,2023-09-19 19:01:18
